Symbiont Index,Host Index,T_MMM_05_degC
762,305,28.97
762,307,28.97
762,311,28.97
762,315,28.97
762,320,28.97
762,334,28.97
762,337,28.97
762,341,28.97
762,367,28.97
762,374,28.97
762,379,28.97
762,405,28.97
762,431,28.97
762,480,28.97
762,483,28.97
762,494,28.97
762,499,28.97
762,501,28.97
762,504,28.97
762,506,28.97
762,511,28.97
762,520,28.97
762,522,28.97
762,525,28.97
762,532,28.97
762,537,28.97
762,538,28.97
762,540,28.97
762,542,28.97
762,546,28.97
762,551,28.97
762,552,28.97
762,557,28.97
762,596,28.97
762,678,28.97
762,703,28.97
762,716,28.97
762,720,28.97
760,457,28.97
760,467,28.97
902,467,28.97
910,150,28.97
910,326,28.97
915,213,28.97
915,551,28.97
752,1,28.97
752,3,28.97
752,96,28.97
752,101,28.97
752,158,28.97
752,191,28.97
752,212,28.97
752,213,28.97
752,219,28.97
752,221,28.97
752,229,28.97
752,232,28.97
752,233,28.97
752,264,28.97
752,267,28.97
752,270,28.97
752,272,28.97
752,273,28.97
752,274,28.97
752,281,28.97
752,284,28.97
752,294,28.97
752,298,28.97
752,303,28.97
752,305,28.97
752,307,28.97
752,311,28.97
752,315,28.97
752,334,28.97
752,337,28.97
752,341,28.97
752,367,28.97
752,374,28.97
752,379,28.97
752,480,28.97
752,483,28.97
752,494,28.97
752,499,28.97
752,501,28.97
752,504,28.97
752,506,28.97
752,511,28.97
752,520,28.97
752,522,28.97
752,525,28.97
752,532,28.97
752,537,28.97
752,538,28.97
752,546,28.97
752,551,28.97
752,552,28.97
752,557,28.97
752,596,28.97
752,678,28.97
752,716,28.97
752,720,28.97
930,703,28.97
737,47,28.97
737,58,28.97
737,61,28.97
737,63,28.97
737,92,28.97
737,100,28.97
737,101,28.97
737,118,28.97
737,320,28.97
737,405,28.97
737,431,28.97
737,540,28.97
737,552,28.97
735,577,28.97
761,577,28.97
958,140,28.97
786,7,28.97
786,113,28.97
786,191,28.97
786,272,28.97
786,294,28.97
786,305,28.97
786,307,28.97
786,379,28.97
786,480,28.97
786,537,28.97
786,557,28.97
786,683,28.97
748,7,28.97
748,191,28.97
748,272,28.97
748,294,28.97
748,305,28.97
748,307,28.97
748,379,28.97
748,480,28.97
748,537,28.97
748,557,28.97
750,578,29.87
776,625,29.87
842,625,29.87
843,625,29.87
844,625,29.87
845,625,29.87
851,625,29.87
772,578,29.87
761,578,29.87
786,578,29.87
748,578,29.87
768,24,27.60
768,580,27.60
768,587,27.60
796,580,27.60
750,24,27.60
750,71,27.60
750,167,27.60
750,170,27.60
750,176,27.60
750,179,27.60
750,290,27.60
750,292,27.60
750,352,27.60
750,357,27.60
750,358,27.60
750,365,27.60
750,368,27.60
750,528,27.60
750,568,27.60
750,580,27.60
750,582,27.60
750,587,27.60
750,669,27.60
816,368,27.60
817,368,27.60
818,568,27.60
819,290,27.60
819,358,27.60
820,290,27.60
820,358,27.60
820,568,27.60
821,290,27.60
821,580,27.60
776,608,27.60
776,610,27.60
776,627,27.60
776,630,27.60
776,632,27.60
776,651,27.60
836,651,27.60
837,651,27.60
838,610,27.60
839,651,27.60
840,651,27.60
841,651,27.60
846,651,27.60
847,610,27.60
848,610,27.60
849,651,27.60
858,441,27.60
743,441,27.60
864,368,27.60
772,24,27.60
772,170,27.60
772,368,27.60
772,568,27.60
772,580,27.60
772,587,27.60
864,290,27.60
864,358,27.60
864,528,27.60
864,568,27.60
865,568,27.60
864,179,27.60
864,292,27.60
864,669,27.60
866,176,27.60
866,290,27.60
866,352,27.60
866,357,27.60
866,358,27.60
866,669,27.60
867,582,27.60
790,528,27.60
785,441,27.60
785,459,27.60
785,528,27.60
785,568,27.60
875,441,27.60
876,71,27.60
877,24,27.60
877,71,27.60
878,528,27.60
879,441,27.60
880,441,27.60
792,441,27.60
884,24,27.60
884,368,27.60
884,516,27.60
884,528,27.60
885,528,27.60
762,24,27.60
762,71,27.60
762,290,27.60
762,358,27.60
762,441,27.60
762,528,27.60
762,568,27.60
887,24,27.60
887,71,27.60
888,24,27.60
888,71,27.60
889,568,27.60
890,441,27.60
891,24,27.60
891,71,27.60
891,290,27.60
891,358,27.60
892,24,27.60
892,71,27.60
893,24,27.60
893,71,27.60
894,24,27.60
760,441,27.60
760,459,27.60
895,441,27.60
896,441,27.60
897,441,27.60
898,441,27.60
899,441,27.60
903,449,27.60
904,449,27.60
905,449,27.60
907,588,27.60
916,24,27.60
916,71,27.60
761,568,27.60
761,580,27.60
761,587,27.60
772,528,27.60
937,580,27.60
786,441,27.60
786,459,27.60
786,587,27.60
971,441,27.60
748,441,27.60
748,459,27.60
748,587,27.60
978,627,27.60
978,630,27.60
979,627,27.60
979,630,27.60
980,610,27.60
980,627,27.60
980,630,27.60
981,627,27.60
981,630,27.60
754,573,27.63
750,513,27.63
750,521,27.63
750,561,27.63
750,573,27.63
750,585,27.63
750,590,27.63
750,594,27.63
750,637,27.63
750,656,27.63
750,665,27.63
750,668,27.63
750,670,27.63
750,671,27.63
860,652,27.63
864,561,27.63
864,573,27.63
864,585,27.63
864,590,27.63
864,594,27.63
772,513,27.63
772,521,27.63
772,561,27.63
772,573,27.63
772,585,27.63
772,590,27.63
772,594,27.63
865,590,27.63
864,668,27.63
866,656,27.63
866,665,27.63
866,670,27.63
866,671,27.63
761,590,27.63
764,637,27.63
959,637,27.63
960,637,27.63
962,637,27.63
786,561,27.63
786,573,27.63
786,585,27.63
786,590,27.63
786,594,27.63
797,60,28.68
750,12,28.68
750,29,28.68
750,38,28.68
750,44,28.68
750,52,28.68
750,72,28.68
750,74,28.68
