Clade,Type,Host_Family,Host_Genus,Host_Sci_Name,Ocean,Region,host_tol,symb_ID,host_ID,T_MMM_05
D,D1,Siderastreidae,Siderastrea,Siderastrea siderea,Caribbean,Eastern_Caribbean,0.810,786,693,29.63
D,D1a,Faviidae,Colpophyllia,Colpophyllia natans,Caribbean,Eastern_Caribbean,0.820,748,151,29.63
D,D1a,Faviidae,Diploria,Diploria clivosa,Caribbean,Eastern_Caribbean,0.825,748,195,29.63
D,D1a,Faviidae,Diploria,Diploria labyrinthiformis,Caribbean,Eastern_Caribbean,0.877,748,198,29.63
D,D1a,Faviidae,Montastraea,Montastraea faveolata,Caribbean,Eastern_Caribbean,0.780,748,425,29.63
D,D1a,Mussidae,Scolymia,Scolymia sp.,Caribbean,Eastern_Caribbean,0.313,748,677,29.63
D,D1a,Siderastreidae,Siderastrea,Siderastrea radians,Caribbean,Eastern_Caribbean,0.769,748,685,29.63
D,D1a,Siderastreidae,Siderastrea,Siderastrea siderea,Caribbean,Eastern_Caribbean,0.810,748,693,29.63
A,A3,Acroporidae,Acropora,Acropora cervicornis,Caribbean,Florida,0.681,773,17,30.25
A,A3,Acroporidae,Acropora,Acropora palmata,Caribbean,Florida,0.742,773,82,30.25
A,A3,Siderastreidae,Siderastrea,Siderastrea siderea,Caribbean,Florida,0.810,773,690,30.25
A,A4,Poritidae,Porites,Porites astreoides,Caribbean,Florida,0.840,787,606,30.25
A,A4a,Poritidae,Porites,Porites astreoides,Caribbean,Florida,0.840,774,606,30.25
B,B1,Acroporidae,Acropora,Acropora cervicornis,Caribbean,Florida,0.681,754,17,30.25
B,B1,Faviidae,Colpophyllia,Colpophyllia natans,Caribbean,Florida,0.820,754,152,30.25
B,B1,Meandrinidae,Dichocoenia,Dichocoenia stokesi,Caribbean,Florida,0.898,754,186,30.25
B,B1,Faviidae,Diploria,Diploria labyrinthiformis,Caribbean,Florida,0.877,754,199,30.25
B,B1,Faviidae,Diploria,Diploria strigosa,Caribbean,Florida,0.824,754,206,30.25
B,B1,Faviidae,Montastraea,Montastraea annularis,Caribbean,Florida,0.811,754,410,30.25
B,B1,Faviidae,Montastraea,Montastraea faveolata,Caribbean,Florida,0.780,754,423,30.25
B,B1,Faviidae,Montastraea,Montastraea franksi,Caribbean,Florida,0.826,754,428,30.25
B,B1,Siderastreidae,Siderastrea,Siderastrea siderea,Caribbean,Florida,0.810,754,690,30.25
B,B10,Faviidae,Montastraea,Montastraea annularis,Caribbean,Florida,0.811,742,410,30.25
B,B10,Faviidae,Montastraea,Montastraea faveolata,Caribbean,Florida,0.780,742,423,30.25
B,B10,Faviidae,Montastraea,Montastraea franksi,Caribbean,Florida,0.826,742,428,30.25
B,B13,Pocilloporidae,Madracis,Madracis sp.,Caribbean,Florida,0.899,802,394,30.25
B,B13a,Pocilloporidae,Madracis,Madracis sp.,Caribbean,Florida,0.899,803,394,30.25
B,B5,Siderastreidae,Siderastrea,Siderastrea radians,Caribbean,Florida,0.769,763,687,30.25
B,B5,Siderastreidae,Siderastrea,Siderastrea siderea,Caribbean,Florida,0.810,763,690,30.25
B,B5a,Siderastreidae,Siderastrea,Siderastrea siderea,Caribbean,Florida,0.810,811,690,30.25
B,B7,Pocilloporidae,Madracis,Madracis sp.,Caribbean,Florida,0.899,813,394,30.25
C,C3,Agariciidae,Agaricia,Agaricia sp.,Caribbean,Florida,0.678,762,132,30.25
C,C3,Faviidae,Montastraea,Montastraea annularis,Caribbean,Florida,0.811,762,410,30.25
C,C3,Faviidae,Montastraea,Montastraea cavernosa,Caribbean,Florida,0.856,762,416,30.25
C,C3,Faviidae,Montastraea,Montastraea faveolata,Caribbean,Florida,0.780,762,423,30.25
C,C3,Faviidae,Montastraea,Montastraea franksi,Caribbean,Florida,0.826,762,428,30.25
C,C3,Siderastreidae,Siderastrea,Siderastrea siderea,Caribbean,Florida,0.810,762,690,30.25
C,C3a,Agariciidae,Agaricia,Agaricia sp.,Caribbean,Florida,0.678,914,132,30.25
D,D1,Faviidae,Montastraea,Montastraea annularis,Caribbean,Florida,0.811,786,410,30.25
D,D1,Faviidae,Montastraea,Montastraea faveolata,Caribbean,Florida,0.780,786,423,30.25
D,D1,Faviidae,Montastraea,Montastraea franksi,Caribbean,Florida,0.826,786,428,30.25
D,D1,Siderastreidae,Siderastrea,Siderastrea siderea,Caribbean,Florida,0.810,786,690,30.25
D,D1a,Faviidae,Montastraea,Montastraea annularis,Caribbean,Florida,0.811,748,410,30.25
D,D1a,Faviidae,Montastraea,Montastraea faveolata,Caribbean,Florida,0.780,748,423,30.25
D,D1a,Faviidae,Montastraea,Montastraea franksi,Caribbean,Florida,0.826,748,428,30.25
D,D1a,Siderastreidae,Siderastrea,Siderastrea siderea,Caribbean,Florida,0.810,748,690,30.25
B,B7,Pocilloporidae,Madracis,Madracis sp.,Caribbean,Gulf_of_Mexico,0.899,813,396,30.54
A,A3,Acroporidae,Acropora,Acropora cervicornis,Caribbean,Western_Caribbean,0.681,773,19,29.72
A,A3,Acroporidae,Acropora,Acropora cervicornis,Caribbean,Western_Caribbean,0.681,773,19,29.72
A,A3,Acroporidae,Acropora,Acropora cervicornis,Caribbean,Western_Caribbean,0.681,773,19,29.72
A,A3,Acroporidae,Acropora,Acropora palmata,Caribbean,Western_Caribbean,0.742,773,84,29.72
A,A3,Acroporidae,Acropora,Acropora palmata,Caribbean,Western_Caribbean,0.742,773,84,29.72
A,A3,Faviidae,Montastraea,Montastraea faveolata,Caribbean,Western_Caribbean,0.780,773,420,29.72
A,A3,Faviidae,Montastraea,Montastraea franksi,Caribbean,Western_Caribbean,0.826,773,426,29.72
A,A3,Poritidae,Porites,Porites astreoides,Caribbean,Western_Caribbean,0.840,773,603,29.72
A,A3,Poritidae,Porites,Porites divaricata,Caribbean,Western_Caribbean,0.973,773,616,29.72
A,A3,Poritidae,Porites,Porites porites,Caribbean,Western_Caribbean,0.802,773,638,29.72
A,A3,Astrocoeniidae,Stephanocoenia,Stephanocoenia intersepta,Caribbean,Western_Caribbean,0.812,773,700,29.72
A,A4,Poritidae,Porites,Porites astreoides,Caribbean,Western_Caribbean,0.840,787,603,29.72
A,A4,Poritidae,Porites,Porites astreoides,Caribbean,Western_Caribbean,0.840,787,603,29.72
A,A4,Poritidae,Porites,Porites furcata,Caribbean,Western_Caribbean,0.698,787,620,29.72
A,A4a,Poritidae,Porites,Porites astreoides,Caribbean,Western_Caribbean,0.840,774,603,29.72
B,B1,Caryophylliidae,Cladocora,Cladocora arbuscula,Caribbean,Western_Caribbean,0.973,754,148,29.72
B,B1,Meandrinidae,Dendrogyra,Dendrogyra cylindrus,Caribbean,Western_Caribbean,0.546,754,184,29.72
B,B1,Meandrinidae,Dendrogyra,Dendrogyra cylindrus,Caribbean,Western_Caribbean,0.546,754,184,29.72
B,B1,Meandrinidae,Dichocoenia,Dichocoenia stokesi,Caribbean,Western_Caribbean,0.898,754,189,29.72
B,B1,Meandrinidae,Dichocoenia,Dichocoenia stokesi,Caribbean,Western_Caribbean,0.898,754,189,29.72
