spatial scale,RobustnessType,diff_obs,obt_p,obt_F,pval,type1,type2,p_adjust_holm
gbr_r.permres.62,HostRobustness,-0.082507616,1.03E-07,30.55494499,0.000999001,bleach,DHS,0
gbr_r.permres.72,HostRobustness,0.027130431,0.000278767,13.69901265,0.000999001,bleach,DLS,0
gbr_r.permres.82,HostRobustness,0.063492063,7.66E-87,1244.821441,0.000999001,RL,LT_BL,0
gbr_r.permres.92,HostRobustness,-0.021997755,4.36E-24,135.0418375,0.000999001,RL,LT_SL,0
gbr_r.permres.102,HostRobustness,0.143209877,1.68E-157,7378.6732,0.000999001,RL,LT_HL,0
gbr_r.permres.113,HostRobustness,0.011121132,0.563629208,0.334596168,0.557442557,RL,RS,1
gbr_r.permres.122,HostRobustness,0.024589145,4.82E-05,17.27983755,0.000999001,RL,TLS,0
gbr_r.permres.132,HostRobustness,-0.040436107,0.007526489,7.293428764,0.004995005,RL,DHS,0.04
gbr_r.permres.142,HostRobustness,0.06920194,2.46E-17,86.88068685,0.000999001,RL,DLS,0
gbr_r.permres.152,HostRobustness,-0.085489819,1.82E-147,5787.815864,0.000999001,LT_BL,LT_SL,0
gbr_r.permres.162,HostRobustness,0.079717813,8.81E-184,13848.07042,0.000999001,LT_BL,LT_HL,0
gbr_r.permres.172,HostRobustness,-0.052370932,0.006858942,7.4668716,0.00999001,LT_BL,RS,0.072
gbr_r.permres.182,HostRobustness,-0.038902918,1.19E-10,46.32545876,0.000999001,LT_BL,TLS,0
gbr_r.permres.192,HostRobustness,-0.103928171,4.52E-11,48.68313811,0.000999001,LT_BL,DHS,0
gbr_r.permres.202,HostRobustness,0.005709877,0.43293562,0.617476177,0.444555445,LT_BL,DLS,1
gbr_r.permres.213,HostRobustness,0.165207632,1.33E-221,33954.10771,0.000999001,LT_SL,LT_HL,0
gbr_r.permres.222,HostRobustness,0.033118887,0.085701159,2.98333431,0.085914086,LT_SL,RS,0.51
gbr_r.permres.232,HostRobustness,0.046586901,5.48E-14,65.73878535,0.000999001,LT_SL,TLS,0
gbr_r.permres.242,HostRobustness,-0.018438352,0.217597667,1.52996508,0.217782218,LT_SL,DHS,0.868
gbr_r.permres.252,HostRobustness,0.091199695,8.87E-27,156.5040563,0.000999001,LT_SL,DLS,0
gbr_r.permres.262,HostRobustness,-0.132088745,7.16E-11,47.55899075,0.000999001,LT_HL,RS,0
gbr_r.permres.272,HostRobustness,-0.118620731,8.90E-52,436.8378452,0.000999001,LT_HL,TLS,0
gbr_r.permres.282,HostRobustness,-0.183645984,2.87E-26,152.326019,0.000999001,LT_HL,DHS,0
gbr_r.permres.292,HostRobustness,-0.074007937,5.92E-20,104.6440342,0.000999001,LT_HL,DLS,0
gbr_r.permres.302,HostRobustness,0.013468013,0.500987932,0.45452569,0.491508492,RS,TLS,1
gbr_r.permres.312,HostRobustness,-0.051557239,0.034779485,4.518628507,0.041958042,RS,DHS,0.287
gbr_r.permres.322,HostRobustness,0.058080808,0.005036312,8.047188482,0.007992008,RS,DLS,0.063
gbr_r.permres.332,HostRobustness,-0.065025253,6.47E-05,16.6719608,0.000999001,TLS,DHS,0
gbr_r.permres.342,HostRobustness,0.044612795,2.49E-06,23.53944162,0.000999001,TLS,DLS,0
gbr_r.permres.352,HostRobustness,0.109638047,3.24E-10,43.91103635,0.000999001,DHS,DLS,0
j_r.permres,TotalRobustness,-0.022967773,0.002052253,9.761682166,0.000999001,bleach,RL,0
j_r.permres.1,TotalRobustness,0.042087542,2.42E-06,23.59742266,0.000999001,bleach,LT_BL,0
j_r.permres.2,TotalRobustness,0.018999519,0.03007076,4.774460976,0.032967033,bleach,LT_SL,0.032
j_r.permres.3,TotalRobustness,0.104978355,4.50E-36,242.0586279,0.000999001,bleach,LT_HL,0
j_r.permres.4,TotalRobustness,0.272910053,5.44E-66,687.2232058,0.000999001,bleach,RB,0
j_r.permres.5,TotalRobustness,0.447051467,2.12E-132,4004.261356,0.000999001,bleach,TLB,0
j_r.permres.6,TotalRobustness,0.204492544,8.24E-76,916.0948758,0.000999001,bleach,DHB,0
j_r.permres.7,TotalRobustness,0.318835979,9.56E-79,995.425979,0.000999001,bleach,DLB,0
j_r.permres.8,TotalRobustness,0.065055315,6.95E-21,111.2285863,0.000999001,RL,LT_BL,0
j_r.permres.9,TotalRobustness,0.041967292,1.58E-10,45.63963172,0.000999001,RL,LT_SL,0
j_r.permres.10,TotalRobustness,0.127946128,2.83E-103,1923.264016,0.000999001,RL,LT_HL,0
j_r.permres.11,TotalRobustness,0.295877826,2.64E-86,1226.760619,0.000999001,RL,RB,0
j_r.permres.12,TotalRobustness,0.47001924,9.97E-193,17133.10527,0.000999001,RL,TLB,0
j_r.permres.13,TotalRobustness,0.227460317,6.51E-149,5994.545122,0.000999001,RL,DHB,0
j_r.permres.14,TotalRobustness,0.341803752,1.32E-100,1794.423907,0.000999001,RL,DLB,0
j_r.permres.15,TotalRobustness,-0.023088023,0.003145189,8.941416401,0.000999001,LT_BL,LT_SL,0.002
j_r.permres.16,TotalRobustness,0.062890813,6.12E-24,133.9046786,0.000999001,LT_BL,LT_HL,0
j_r.permres.17,TotalRobustness,0.230822511,2.72E-60,576.6888852,0.000999001,LT_BL,RB,0
