Symbiont.Index,Host.Index,T_MMM_05_degC
782,597,28.68
782,599,28.68
782,673,28.68
782,723,28.68
922,210,28.68
922,308,28.68
922,375,28.68
922,497,28.68
785,12,28.68
785,29,28.68
785,34,28.68
785,38,28.68
785,52,28.68
785,55,28.68
785,68,28.68
785,70,28.68
785,72,28.68
785,74,28.68
785,79,28.68
783,681,28.68
928,681,28.68
791,222,28.68
791,224,28.68
791,227,28.68
791,478,28.68
791,714,28.68
791,717,28.68
791,723,28.68
791,728,28.68
791,730,28.68
931,224,28.68
932,227,28.68
761,705,28.68
761,566,28.68
933,566,28.68
933,705,28.68
955,601,28.68
955,613,28.68
955,655,28.68
956,451,28.68
961,444,28.68
765,705,28.68
965,705,28.68
749,705,28.68
769,705,28.68
795,705,28.68
1581,2,28.68
1582,79,28.68
1583,222,28.68
1584,300,28.68
1585,304,28.68
1586,318,28.68
1587,344,28.68
1588,361,28.68
1589,419,28.68
748,2,28.68
748,222,28.68
748,300,28.68
748,304,28.68
748,318,28.68
748,344,28.68
748,361,28.68
748,419,28.68
974,318,28.68
975,6,28.68
975,62,28.68
975,74,28.68
975,85,28.68
975,111,28.68
1459,5,28.54
1460,32,28.54
1461,35,28.54
1462,75,28.54
1463,77,28.54
1464,116,28.54
1465,120,28.54
1466,144,28.54
1467,146,28.54
1468,174,28.54
1469,225,28.54
1470,291,28.54
1471,345,28.54
1472,470,28.54
1473,502,28.54
1474,512,28.54
1475,560,28.54
1476,569,28.54
1477,581,28.54
1478,672,28.54
1479,706,28.54
772,569,28.54
772,581,28.54
785,180,28.54
785,217,28.54
785,269,28.54
785,301,28.54
785,340,28.54
785,345,28.54
785,377,28.54
785,533,28.54
785,712,28.54
785,719,28.54
881,180,28.54
881,217,28.54
881,269,28.54
881,301,28.54
881,340,28.54
881,345,28.54
881,377,28.54
881,533,28.54
881,712,28.54
881,719,28.54
884,138,28.54
884,275,28.54
884,340,28.54
884,509,28.54
1297,9,28.54
1298,14,28.54
1299,22,28.54
1300,31,28.54
1301,32,28.54
1302,35,28.54
1303,37,28.54
1304,41,28.54
1305,59,28.54
1306,66,28.54
1307,75,28.54
1308,97,28.54
1309,98,28.54
1310,107,28.54
1311,114,28.54
1312,116,28.54
1313,225,28.54
1314,231,28.54
1315,250,28.54
1316,259,28.54
